"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD"
"08/09/2007","63","QUINDIO","63130","CALARCA","1"
"08/09/2007","63","QUINDIO","63130","CALARCA","1"
"04/10/2007","63","QUINDIO","63130","CALARCA","1"
"08/10/2007","63","QUINDIO","63130","CALARCA","1"
"08/10/2007","63","QUINDIO","63130","CALARCA","1"
"20/10/2007","63","QUINDIO","63130","CALARCA","1"
"20/10/2007","63","QUINDIO","63130","CALARCA","1"
"14/11/2007","63","QUINDIO","63130","CALARCA","1"
"14/11/2007","63","QUINDIO","63130","CALARCA","1"
"29/11/2007","63","QUINDIO","63130","CALARCA","1"
"11/12/2007","63","QUINDIO","63130","CALARCA","1"
"13/12/2007","63","QUINDIO","63130","CALARCA","1"
"21/12/2007","63","QUINDIO","63130","CALARCA","1"
"01/01/2008","63","QUINDIO","63130","CALARCA","1"
"01/01/2008","63","QUINDIO","63130","CALARCA","1"
"01/01/2008","63","QUINDIO","63130","CALARCA","1"
"01/01/2008","63","QUINDIO","63130","CALARCA","1"
"01/01/2008","63","QUINDIO","63130","CALARCA","1"
"01/01/2008","63","QUINDIO","63130","CALARCA","1"
"12/01/2008","63","QUINDIO","63130","CALARCA","1"
"12/01/2008","63","QUINDIO","63130","CALARCA","1"
"22/01/2008","63","QUINDIO","63130","CALARCA","1"
"25/01/2008","63","QUINDIO","63130","CALARCA","1"
"26/01/2008","63","QUINDIO","63130","CALARCA","1"
"30/01/2008","63","QUINDIO","63130","CALARCA","1"
"05/02/2008","63","QUINDIO","63130","CALARCA","1"
"08/02/2008","63","QUINDIO","63130","CALARCA","1"
"08/02/2008","63","QUINDIO","63130","CALARCA","1"
"08/02/2008","63","QUINDIO","63130","CALARCA","1"
"08/02/2008","63","QUINDIO","63130","CALARCA","1"
"08/02/2008","63","QUINDIO","63130","CALARCA","1"
"31/03/2008","63","QUINDIO","63130","CALARCA","1"
"31/03/2008","63","QUINDIO","63130","CALARCA","1"
"31/03/2008","63","QUINDIO","63130","CALARCA","1"
"03/04/2008","63","QUINDIO","63130","CALARCA","1"
"06/04/2008","63","QUINDIO","63130","CALARCA","1"
"06/04/2008","63","QUINDIO","63130","CALARCA","1"
"09/05/2008","63","QUINDIO","63130","CALARCA","1"
"09/05/2008","63","QUINDIO","63130","CALARCA","1"
"09/05/2008","63","QUINDIO","63130","CALARCA","1"
"09/05/2008","63","QUINDIO","63130","CALARCA","1"
"09/05/2008","63","QUINDIO","63130","CALARCA","1"
"09/05/2008","63","QUINDIO","63130","CALARCA","1"
"10/05/2008","63","QUINDIO","63130","CALARCA","1"
"25/05/2008","63","QUINDIO","63130","CALARCA","1"
"12/07/2008","63","QUINDIO","63130","CALARCA","1"
"12/07/2008","63","QUINDIO","63130","CALARCA","1"
"12/07/2008","63","QUINDIO","63130","CALARCA","1"
"17/07/2008","63","QUINDIO","63130","CALARCA","1"
"23/07/2008","63","QUINDIO","63130","CALARCA","1"
"26/07/2008","63","QUINDIO","63130","CALARCA","1"
"22/08/2008","63","QUINDIO","63130","CALARCA","1"
"21/09/2008","63","QUINDIO","63130","CALARCA","1"
"05/10/2008","63","QUINDIO","63130","CALARCA","1"
"05/10/2008","63","QUINDIO","63130","CALARCA","1"
"13/10/2008","63","QUINDIO","63130","CALARCA","1"
"20/11/2008","63","QUINDIO","63130","CALARCA","1"
"10/12/2008","63","QUINDIO","63130","CALARCA","1"
"14/12/2008","63","QUINDIO","63130","CALARCA","1"
"14/12/2008","63","QUINDIO","63130","CALARCA","1"
"14/12/2008","63","QUINDIO","63130","CALARCA","1"
"17/12/2008","63","QUINDIO","63130","CALARCA","1"
"18/12/2008","63","QUINDIO","63130","CALARCA","1"
"23/12/2008","63","QUINDIO","63130","CALARCA","1"
"24/12/2008","63","QUINDIO","63130","CALARCA","1"
"24/12/2008","63","QUINDIO","63130","CALARCA","1"
"25/12/2008","63","QUINDIO","63130","CALARCA","1"
"25/12/2008","63","QUINDIO","63130","CALARCA","1"
"25/12/2008","63","QUINDIO","63130","CALARCA","1"
"30/12/2008","63","QUINDIO","63130","CALARCA","1"
"03/01/2009","63","QUINDIO","63130","CALARCA","1"
"05/01/2009","63","QUINDIO","63130","CALARCA","1"
"05/01/2009","63","QUINDIO","63130","CALARCA","1"
"05/01/2009","63","QUINDIO","63130","CALARCA","1"
"08/01/2009","63","QUINDIO","63130","CALARCA","1"
"09/01/2009","63","QUINDIO","63130","CALARCA","1"
"12/01/2009","63","QUINDIO","63130","CALARCA","1"
"13/01/2009","63","QUINDIO","63130","CALARCA","1"
"13/01/2009","63","QUINDIO","63130","CALARCA","1"
"16/01/2009","63","QUINDIO","63130","CALARCA","1"
"17/01/2009","63","QUINDIO","63130","CALARCA","1"
"17/01/2009","63","QUINDIO","63130","CALARCA","1"
"18/01/2009","63","QUINDIO","63130","CALARCA","1"
"18/01/2009","63","QUINDIO","63130","CALARCA","1"
"19/01/2009","63","QUINDIO","63130","CALARCA","1"
"19/01/2009","63","QUINDIO","63130","CALARCA","1"
"20/01/2009","63","QUINDIO","63130","CALARCA","1"
"21/01/2009","63","QUINDIO","63130","CALARCA","1"
"24/01/2009","63","QUINDIO","63130","CALARCA","1"
"27/01/2009","63","QUINDIO","63130","CALARCA","1"
"27/01/2009","63","QUINDIO","63130","CALARCA","1"
"01/02/2009","63","QUINDIO","63130","CALARCA","1"
"03/02/2009","63","QUINDIO","63130","CALARCA","1"
"17/02/2009","63","QUINDIO","63130","CALARCA","1"
"17/02/2009","63","QUINDIO","63130","CALARCA","1"
"18/02/2009","63","QUINDIO","63130","CALARCA","1"
"19/02/2009","63","QUINDIO","63130","CALARCA","1"
"21/02/2009","63","QUINDIO","63130","CALARCA","1"
"04/03/2009","63","QUINDIO","63130","CALARCA","1"
"06/03/2009","63","QUINDIO","63130","CALARCA","1"
"08/03/2009","63","QUINDIO","63130","CALARCA","1"
"08/03/2009","63","QUINDIO","63130","CALARCA","1"
"11/03/2009","63","QUINDIO","63130","CALARCA","1"
"13/03/2009","63","QUINDIO","63130","CALARCA","1"
"14/03/2009","63","QUINDIO","63130","CALARCA","1"
"19/03/2009","63","QUINDIO","63130","CALARCA","1"
"24/03/2009","63","QUINDIO","63130","CALARCA","1"
"24/03/2009","63","QUINDIO","63130","CALARCA","1"
"26/03/2009","63","QUINDIO","63130","CALARCA","1"
"27/03/2009","63","QUINDIO","63130","CALARCA","1"
"01/04/2009","63","QUINDIO","63130","CALARCA","1"
